timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,num_doors,ext_condition,int_condition,drive_type
1584031284,5250,2008,Ford,F-150,Truck,182945.0,Clean Title,Salt Lake City,UT,Owner,XL,white,gray,Automatic,,8.0,Gasoline,2.0,Good,Very Good,4-Wheel Drive
1584031280,2700,2009,Pontiac,Vibe,Hatchback,180000.0,Rebuilt/Reconstructed Title,Murray,UT,Dealer,,black,gray,,,4.0,Gasoline,4.0,Good,Good,AWD
1584031274,8995,2012,Honda,Odyssey,Van,92519.0,Rebuilt/Reconstructed Title,Bountiful,UT,Dealer,EX,silver,,Automatic,,6.0,Gasoline,4.0,,,FWD
1584031264,10995,2017,Nissan,Rogue,Sport Utility,87116.0,Clean Title,American Fork,UT,Dealer,S,blue,charcoal,Automatic,,4.0,Gasoline,4.0,,,FWD
1584031254,19700,2019,Kia,Sorento,Sport Utility,45586.0,,Layton,UT,Dealer,LX V6,silver,satin black,Automatic,,6.0,Gasoline,4.0,,,AWD
1584031251,13200,2000,Ford,F-250,Truck,148100.0,Clean Title,Layton,UT,Owner,Lariat,white,tan,Automatic,,8.0,Diesel,4.0,Good,Good,4-Wheel Drive
1584031233,11595,2017,Nissan,Rogue,Sport Utility,80193.0,Clean Title,American Fork,UT,Dealer,S,red,charcoal,Automatic,,4.0,Gasoline,4.0,,,FWD
1584031230,1288,1999,Audi,A6,Sedan,169000.0,,Boise,ID,Dealer,,blue,,Automatic,,6.0,Gasoline,,,,AWD
1584031223,12888,2008,Cadillac,Escalade,Sport Utility,164971.0,Clean Title,West Bountiful,UT,Dealer,,black raven,champagne,Automatic,,8.0,Gasoline,4.0,Excellent,Excellent,AWD
1584031220,19988,2018,Ram,ProMaster City,Minivan,14785.0,,Boise,ID,Dealer,,,,Automatic,,4.0,Gasoline,,,,
1584031213,19800,2019,Ford,Escape,Sport Utility,27143.0,,Layton,UT,Dealer,SE,silver,medium light stone,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive
1584031203,16000,2018,Hyundai,Tucson,Sport Utility,43946.0,,Layton,UT,Dealer,SEL,gray,gray,Automatic,,4.0,Gasoline,4.0,,,FWD
1584031193,14600,2018,Chevrolet,Cruze,Hatchback,37780.0,,Layton,UT,Dealer,LT,white,jet black,Automatic,,4.0,Gasoline,4.0,,,
