timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics
1584383798,8995,2011,Nissan,Juke,Wagon,94737,,Boise,ID,Dealer,SV,glacier pearl,black,Automatic,,4.0,Gasoline,,,,AWD,0
1584383848,1250,1987,Chevrolet,3/4 Ton,Truck,93000,Clean Title,Cedar Hills,UT,Owner,,,,Automanual,,8.0,Gasoline,2.0,,,,3
1584383860,4295,2001,Ford,Ranger,Truck,153750,Clean Title,Roy,UT,Dealer,XLT,white,gray,Manual,,6.0,Gasoline,2.0,Very Good,Very Good,4-Wheel Drive,7
1584383880,31990,2016,Toyota,4Runner,Sport Utility,44500,Clean Title,Orem,UT,Dealer,SR5 Premium,silver,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,12
1584383898,19390,2019,Ford,Escape,SUV,17828,Clean Title,Tooele,UT,Dealer,SEL,black,gray,Automatic,1.5,4.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,26
1584383919,14290,2016,Buick,Encore,SUV,29600,Clean Title,Tooele,UT,Dealer,,silver,black,Automatic,1.4,4.0,Gasoline,4.0,Excellent,Excellent,AWD,21
1584383919,5500,2011,Ford,Crown Victoria,Sedan,98000,Clean Title,Murray,UT,Dealer,,white,black,Automatic,,8.0,Flex Fuel,4.0,Excellent,Excellent,RWD,15
1584383929,13220,2016,Nissan,Pathfinder,Sport Utility,95486,,Sandy,UT,Dealer,,cayenne red metallic,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,25
1584383931,3500,2004,Honda,Civic,Sedan,145000,Rebuilt/Reconstructed Title,Murray,UT,Dealer,LX,gray,silver,Automatic,,4.0,Gasoline,4.0,Excellent,Very Good,FWD,9
1584383946,17491,2017,Subaru,Forester,Wagon,35300,Clean Title,Tooele,UT,Dealer,2.5i,gray,gray,Automatic,2.5,4.0,Gasoline,4.0,Excellent,Excellent,AWD,21
