post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584801274,https://cars.ksl.com/listing/6044819,40995,2017,Toyota,Tundra,Truck,13696,Clean Title,Buffalo,WY,Dealer,Limited,blue,black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,5TFHY5F11HX591838,14
2020-03-21,1584801276,https://cars.ksl.com/listing/6324054,33995,2018,Ford,F-150,Truck,26078,Clean Title,Orem,UT,Dealer,XLT,silver,medium earth gray,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,1FTFW1E57JFD74445,33
2020-03-21,1584801276,https://cars.ksl.com/listing/6276196,7500,2010,Mazda,CX-9,Sport Utility,121850,Clean Title,North Salt Lake,UT,Owner,Touring,black,black,Automatic,,6.0,Gasoline,4.0,Good,Very Good,AWD,JM3TB3MV3A0204511,29
2020-03-21,1584801277,https://cars.ksl.com/listing/6324053,28995,2012,Ram,2500,Truck,117400,Clean Title,Orem,UT,Dealer,SLT,white,dark slate medium graystone,Automatic,,6.0,Diesel,4.0,,,4-Wheel Drive,3C6UD5DL8CG171254,31
2020-03-21,1584801278,https://cars.ksl.com/listing/6324052,12000,2007,Chevrolet,Silverado 1500,Truck,113048,,Jackson,WY,Dealer,LT with 2LT,white,ebony,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,2GCEK190371525061,0
2020-03-21,1584801278,https://cars.ksl.com/listing/6324050,47000,2019,Chevrolet,Suburban,Sport Utility,22106,,Jackson,WY,Dealer,LT,silver,jet black dark ash,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,1GNSKHKC7KR313464,46
2020-03-21,1584801279,https://cars.ksl.com/listing/6324049,16477,2008,Chevrolet,Silverado 2500HD,Truck,197493,,American Fork,UT,Dealer,LTZ,black,ebony,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1GCHK23608F222197,21
2020-03-21,1584801280,https://cars.ksl.com/listing/6324048,36998,2013,Chevrolet,Silverado 3500HD,Truck,59791,,American Fork,UT,Dealer,SRW LT,gray,,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1GC4K0C84DF124059,0
2020-03-21,1584801280,https://cars.ksl.com/listing/6324047,15950,2017,Hyundai,Sonata,Sedan,35682,Clean Title,Bountiful,UT,Dealer,Limited,silver,black,Automatic,,4.0,Gasoline,,,,,5NPE34AF3HH485742,33
2020-03-21,1584801281,https://cars.ksl.com/listing/6324046,10995,2011,Nissan,Armada,Sport Utility,85000,Rebuilt/Reconstructed Title,Sandy,UT,Owner,Titanium,black,tan,Automatic,,8.0,Flex Fuel,4.0,Excellent,Excellent,4-Wheel Drive,5N1BA0NE5BN618801,20
2020-03-21,1584801281,https://cars.ksl.com/listing/6324043,16980,2014,Audi,A6,Sedan,95593,Clean Title,Salt Lake City,UT,Dealer,3.0T Prestige,gray,,Automatic,,6.0,Gasoline,4.0,,,AWD,WAUHGAFC3EN142565,0
2020-03-21,1584801282,https://cars.ksl.com/listing/6324041,25450,2018,Nissan,Leaf,Hatchback,9396,Clean Title,Salt Lake City,UT,Dealer,SL,brilliant silver,black,Automatic,,,Electric,4.0,,,,1N4AZ1CP5JC311485,0
2020-03-21,1584801283,https://cars.ksl.com/listing/6324042,1550,2006,Chevrolet,Silverado 1500,Truck,189203,Clean Title,Salt Lake City,UT,Dealer,Work Truck,silver birch metallic,dark charcoal,Manual,,6.0,Gasoline,2.0,,,,3GCEC14X76G180589,1
2020-03-21,1584801284,https://cars.ksl.com/listing/6324040,8510,2014,Nissan,Leaf,Hatchback,58984,Clean Title,Salt Lake City,UT,Dealer,S,gun metallic,black,Automatic,,,Electric,4.0,,,,1N4AZ0CP8EC332329,0
2020-03-21,1584801286,https://cars.ksl.com/listing/6232844,27998,2018,Audi,A6,Sedan,22993,,Lehi,UT,Dealer,Premium,tornado gray metallic,black,Automatic,,4.0,Gasoline,4.0,,,AWD,WAUF8AFC0JN067189,30
2020-03-21,1584801288,https://cars.ksl.com/listing/6254217,23500,2017,Subaru,Outback,Sport Utility,42765,,Salt Lake City,UT,Dealer,Limited,ice silver metallic,slate black,,2.5,4.0,Gasoline,4.0,,,,4S4BSAKC8H3279672,45
2020-03-21,1584801288,https://cars.ksl.com/listing/6254216,25600,2017,Subaru,Outback,Sport Utility,38315,,Salt Lake City,UT,Dealer,Limited,ice silver metallic,slate black,,3.6,6.0,Gasoline,4.0,,,,4S4BSEKC6H3231045,46
2020-03-21,1584801289,https://cars.ksl.com/listing/6254215,23500,2017,Subaru,Outback,Sport Utility,42313,,Salt Lake City,UT,Dealer,Limited,tungsten metallic,warm ivory,,3.6,6.0,Gasoline,4.0,,,,4S4BSENC7H3336382,49
2020-03-21,1584801290,https://cars.ksl.com/listing/6254214,23000,2017,Subaru,Outback,Sport Utility,44734,,Salt Lake City,UT,Dealer,Limited,crystal black silica,warm ivory,,2.5,4.0,Gasoline,4.0,,,,4S4BSAKC7H3256027,8
2020-03-21,1584801290,https://cars.ksl.com/listing/6220719,12695,2015,Mazda,Mazda3,Sedan,59156,,Bountiful,UT,Dealer,i Grand Touring,meteor gray mica,black,Automatic,,4.0,Gasoline,4.0,,,FWD,JM1BM1W71F1227904,29
2020-03-21,1584801291,https://cars.ksl.com/listing/6002424,14995,1999,Pontiac,Grand Prix,Coupe,20200,Clean Title,Washington,UT,Dealer,GTP,black,black,Automatic,,6.0,Gasoline,2.0,Excellent,Excellent,FWD,1G2WR1218XF223071,14
